case_id,packet_index,seed,scheme,checktype,error_mode,burst_length,error_start,error_end,error_length,error_region,packet_hex,receiver_checktype,detected,invalid_metadata,validation_time_ns
2,2,8142027,crc10,3,single_bit,0,4,4,1,mac_header,41414242424358595a595a580300002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d2000000030,3,1,0,2564
2,3,8142027,crc10,3,single_bit,0,54,54,1,payload,41414242434358595a595a580300002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746175696f6e20750000014a,3,1,0,4931
2,4,8142027,crc10,3,single_bit,0,4,4,1,mac_header,41414242424358595a595a580300002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f000003c8,3,1,0,4632
2,5,8142027,crc10,3,single_bit,0,25,25,1,payload,41414242434358595a595a580300002c20636f6e7365717561752e2044756973206175746520697275726520646f6c6f7220696e207265707265686500000364,3,1,0,4569
2,6,8142027,crc10,3,single_bit,0,9,9,1,mac_header,41414242434358595a585a580300002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f7265000003f9,3,1,0,2123
2,7,8142027,crc10,3,single_bit,0,31,31,1,payload,41414242434358595a595a580300002c20657520667567696174206e756c6c602070617269617475722e204578636570746575722073696e74206f630000035f,3,1,0,1506
2,8,8142027,crc10,3,single_bit,0,32,32,1,payload,41414242434358595a595a580300002c63616563617420637570696461746174216e6f6e2070726f6964656e742c2073756e7420696e2063756c706100000171,3,1,0,1354
2,9,8142027,crc10,3,single_bit,0,47,47,1,payload,41414242434358595a595a580300002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e686d20696420657374206c6162000001bb,3,1,0,1325
2,10,8142027,crc10,3,single_bit,0,30,30,1,payload,41414242434358595a595a58030000056f72756d2e0000000000000000000100000000000000000000000000000000000000000000000000000000000000032e,3,1,0,1343
2,0,8142027,crc8,4,single_bit,0,10,10,1,mac_header,41414242434358595a595b580400002c6c6f72656d20697073756d20646f6c6f722073697420616d65742c20636f6e736563746574757220616469700000003a,4,1,0,6081
2,1,8142027,crc8,4,single_bit,0,36,36,1,payload,41414242434358595a595a580400002c697363696e6720656c69742e2053656420646f20646975736d6f642074656d706f7220696e6369646964756e000000eb,4,1,0,1095
2,2,8142027,crc8,4,single_bit,0,4,4,1,mac_header,41414242424358595a595a580400002c74207574206c61626f726520657420646f6c6f7265206d61676e6120616c697175612e20557420656e696d200000008a,4,1,0,792
2,3,8142027,crc8,4,single_bit,0,54,54,1,payload,41414242434358595a595a580400002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746175696f6e2075000000df,4,1,0,495
2,4,8142027,crc8,4,single_bit,0,4,4,1,mac_header,41414242424358595a595a580400002c6c6c616d636f206c61626f726973206e69736920757420616c697175697020657820656120636f6d6d6f646f0000001b,4,1,0,508
